method,conditions,mean_estimate,mean_absolute_error,median_absolute_error,maximum_absolute_error,rmse,mean_normalized_ess,median_normalized_ess,coverage_95,total_evaluations,total_condition_seconds
nf_pure,160,0.9992544251249281,0.0013665130519405079,0.0009379956928983746,0.009084548667550596,0.0018938189050857453,0.5328417296656507,0.5628726354621112,0.7875,160000000,1500.004158996744
vegas,160,1.347880174669535e-05,0.9999865211982533,0.9999999999904499,1.0,0.9999865272827235,,,0.0,159211785,363.26269549303106
