condition_index,c0,c1,c2,method,estimate,std_error,normalized_ess,error,absolute_error,evaluations,covered_95,seconds,q_value
0,0.16572770942002535,0.8689608341082931,0.7038161791861057,nf_pure,0.999691731415745,0.0015231898222670813,0.301065320052482,-0.0003082685842550337,0.0003082685842550337,1000000,True,9.848707315977663,
0,0.16572770942002535,0.8689608341082931,0.7038161791861057,vegas,3.4261410890663097e-12,2.8586901598794166e-12,,-0.9999999999965739,0.9999999999965739,995089,False,2.121182028000476,0.46962927326586845
1,0.7935641743242741,0.055245254188776016,0.47532615903764963,nf_pure,0.9973771006798494,0.0010526339578100245,0.4730651502135683,-0.0026228993201505846,0.0026228993201505846,1000000,False,9.396464730001753,
1,0.7935641743242741,0.055245254188776016,0.47532615903764963,vegas,3.4632054058162085e-12,3.3089952128773848e-12,,-0.9999999999965368,0.9999999999965368,995099,False,2.3168077199952677,0.3629245511888852
2,0.5258547337725759,0.7275742506608367,0.7761683827266097,nf_pure,1.0010034685708933,0.0006923825095161993,0.6763918864674822,0.0010034685708932845,0.0010034685708932845,1000000,True,9.357907873985823,
2,0.5258547337725759,0.7275742506608367,0.7761683827266097,vegas,1.3663836771765657e-08,1.2575960880760337e-08,,-0.9999999863361633,0.9999999863361633,994992,False,2.105441781983245,0.3701432474678005
3,0.40558328852057457,0.4143517203629017,0.04372102953493595,nf_pure,1.0002326038230285,0.0007592030788500185,0.6344689463078212,0.0002326038230284766,0.0002326038230284766,1000000,True,9.375313614989864,
3,0.40558328852057457,0.4143517203629017,0.04372102953493595,vegas,6.102276935480703e-13,6.101928872828954e-13,,-0.9999999999993898,0.9999999999993898,995065,False,2.137375799007714,0.43724130385691784
4,0.2863879883661866,0.5358744794502854,0.26311852037906647,nf_pure,0.9994445578949971,0.0009939241793007795,0.5027693502729526,-0.0005554421050029124,0.0005554421050029124,1000000,True,9.373260582011426,
4,0.2863879883661866,0.5358744794502854,0.26311852037906647,vegas,4.870442437969534e-15,4.854053597967445e-15,,-0.9999999999999951,0.9999999999999951,995068,False,2.1718581230088603,0.437869937915765
5,0.6566560938954353,0.3496043626219034,0.55798399168998,nf_pure,1.0000143519483289,0.0005140102141238889,0.7910147579188203,1.4351948328883424e-05,1.4351948328883424e-05,1000000,True,9.392095878982218,
5,0.6566560938954353,0.3496043626219034,0.55798399168998,vegas,3.2709829308972885e-09,3.2472089967491865e-09,,-0.9999999967290171,0.9999999967290171,995079,False,2.1334687150083482,0.43863191877486385
6,0.8970329025760293,0.9261689269915223,0.1943974969908595,nf_pure,0.9987014549378516,0.0009704630577491115,0.5143373451752159,-0.0012985450621484373,0.0012985450621484373,1000000,True,9.365693204017589,
6,0.8970329025760293,0.9261689269915223,0.1943974969908595,vegas,3.1557216304069293e-11,3.155638875633481e-11,,-0.9999999999684428,0.9999999999684428,995094,False,2.161599068000214,0.4372795839698026
7,0.019193097949028015,0.23940766789019108,0.9854696672409773,nf_pure,1.0045263192764884,0.006030552333858884,0.02699743135048873,0.004526319276488389,0.004526319276488389,1000000,True,9.352523182024015,
7,0.019193097949028015,0.23940766789019108,0.9854696672409773,vegas,3.7967117848174675e-12,3.2069881139382433e-12,,-0.9999999999962033,0.9999999999962033,995076,False,2.140296401019441,0.4746894660717532
8,0.0951273925602436,0.639608851633966,0.12511032354086637,nf_pure,0.999218808350255,0.0010002919984540405,0.49946327382128963,-0.0007811916497449944,0.0007811916497449944,1000000,True,9.38371042200015,
8,0.0951273925602436,0.639608851633966,0.12511032354086637,vegas,1.5840722691422545e-12,1.5840024711976912e-12,,-0.9999999999984159,0.9999999999984159,995101,False,2.167141209996771,0.4372829278400435
9,0.9729061620309949,0.45284830406308174,0.9278039541095495,nf_pure,0.9966506605721566,0.0007915266844060529,0.6132213625263867,-0.003349339427843434,0.003349339427843434,1000000,False,9.37844119098736,
9,0.9729061620309949,0.45284830406308174,0.9278039541095495,vegas,3.071479993547999e-10,2.6163999777874676e-10,,-0.999999999692852,0.999999999692852,995019,False,2.317042323993519,0.4642734530784932
10,0.705704640597105,0.7794665163382888,0.3226403221487999,nf_pure,0.9992468719704568,0.0006654961559894145,0.6927352230248707,-0.000753128029543193,0.000753128029543193,1000000,True,9.360544983996078,
10,0.705704640597105,0.7794665163382888,0.3226403221487999,vegas,6.389061537168724e-12,4.207601181203056e-12,,-0.9999999999936109,0.9999999999936109,995096,False,2.1096530299982987,0.5618860628916666
11,0.3354975702241063,0.09319520369172096,0.6215093033388257,nf_pure,1.0010425184451717,0.0012202791343867648,0.40225565257568496,0.0010425184451716696,0.0010425184451716696,1000000,True,9.357626551005524,
11,0.3354975702241063,0.09319520369172096,0.6215093033388257,vegas,1.3120022263146676e-09,1.3100366617203441e-09,,-0.9999999986879978,0.9999999986879978,995091,False,2.1085629269946367,0.43755204452197116
12,0.4820535406470299,0.956638433970511,0.8415800770744681,nf_pure,1.00144242069158,0.0009295592942276123,0.5371743074409074,0.0014424206915799598,0.0014424206915799598,1000000,True,9.35448498398182,
12,0.4820535406470299,0.956638433970511,0.8415800770744681,vegas,7.736469502483333e-07,7.734206928399748e-07,,-0.9999992263530497,0.9999992263530497,995023,False,2.123777375993086,0.4373254498573952
13,0.6022639507427812,0.14341709949076176,0.10526269860565662,nf_pure,1.0000126143146562,0.0005571860324362582,0.7630975531469337,1.2614314656156367e-05,1.2614314656156367e-05,1000000,True,9.374804690014571,
13,0.6022639507427812,0.14341709949076176,0.10526269860565662,vegas,3.4441299061035918e-15,3.034678969784971e-15,,-0.9999999999999966,0.9999999999999966,995100,False,2.1356962799909525,0.46427604384274035
14,0.8421110808849335,0.5656771892681718,0.6481703631579876,nf_pure,1.0008576554227013,0.0023942196918087543,0.14875489375009326,0.0008576554227013311,0.0008576554227013311,1000000,True,9.355285074008862,
14,0.8421110808849335,0.5656771892681718,0.6481703631579876,vegas,6.845699239469055e-14,5.961802889629466e-14,,-0.9999999999999315,0.9999999999999315,995072,False,2.1165250060148537,0.46500466481838953
15,0.21433565113693476,0.25196089781820774,0.40792533848434687,nf_pure,0.9968314669511216,0.0008812709399343191,0.5612983960477655,-0.0031685330488784302,0.0031685330488784302,1000000,False,9.367501104978146,
15,0.21433565113693476,0.25196089781820774,0.40792533848434687,vegas,9.75948400230051e-13,8.244967078163825e-13,,-0.999999999999024,0.999999999999024,995071,False,2.118788941006642,0.47414573804113136
16,0.24925926886498928,0.6003871727734804,0.8813717188313603,nf_pure,0.9965650307591066,0.0008429341083541499,0.5829392806743656,-0.0034349692408933707,0.0034349692408933707,1000000,False,9.393503605009755,
16,0.24925926886498928,0.6003871727734804,0.8813717188313603,vegas,1.2913507052055867e-09,7.119042192546136e-10,,-0.9999999987086493,0.9999999987086493,995021,False,2.1030579259968363,0.535470347668972
17,0.8692217236384749,0.2886087456718087,0.17239606380462646,nf_pure,0.9985777721148995,0.0008321400365510052,0.5901686470978657,-0.001422227885100491,0.001422227885100491,1000000,True,9.366736616007984,
17,0.8692217236384749,0.2886087456718087,0.17239606380462646,vegas,1.0111225052789561e-15,6.749609929710264e-16,,-0.999999999999999,0.999999999999999,995071,False,2.1145659039902966,0.48014247706811897
18,0.5751380603760481,0.9903030712157488,0.5751671325415373,nf_pure,1.0000737158043378,0.0006483456201655784,0.7040815227052006,7.371580433779279e-05,7.371580433779279e-05,1000000,True,9.374128091993043,
18,0.5751380603760481,0.9903030712157488,0.5751671325415373,vegas,5.8759950760080756e-08,5.8759719858641796e-08,,-0.9999999412400492,0.9999999412400492,995075,False,2.0991737520089373,0.43727554426020776
19,0.44711467530578375,0.17901960108429193,0.3700801460072398,nf_pure,1.0014146874119025,0.000955329376230787,0.5235389812881841,0.0014146874119025377,0.0014146874119025377,1000000,True,9.353006977005862,
19,0.44711467530578375,0.17901960108429193,0.3700801460072398,vegas,2.7525949738990474e-12,2.5347271478343454e-12,,-0.9999999999972474,0.9999999999972474,995103,False,2.1235221240203828,0.3889687150132951
20,0.36308170296251774,0.8082561008632183,0.08922409359365702,nf_pure,1.0032979349327618,0.002728452815482671,0.11911009578439802,0.003297934932761759,0.003297934932761759,1000000,True,9.363184674992226,
20,0.36308170296251774,0.8082561008632183,0.08922409359365702,vegas,2.6682804082766757e-15,2.665329987665933e-15,,-0.9999999999999973,0.9999999999999973,995082,False,2.1728826140169986,0.4374792758244975
21,0.7411007983610034,0.12001641001552343,0.8567632623016834,nf_pure,1.0002771583256787,0.0007979195094634693,0.6111263731657637,0.0002771583256786503,0.0002771583256786503,1000000,True,9.386048989981646,
21,0.7411007983610034,0.12001641001552343,0.8567632623016834,vegas,2.8179648994001506e-10,1.8718504304824737e-10,,-0.9999999997182035,0.9999999997182035,995030,False,2.1228511959780008,0.558347477242559
22,0.9375252593308687,0.6674751602113247,0.39173647202551365,nf_pure,0.9990101863035855,0.0013308474291746251,0.36040369723563354,-0.0009898136964144877,0.0009898136964144877,1000000,True,9.377718492993154,
22,0.9375252593308687,0.6674751602113247,0.39173647202551365,vegas,4.1999855721148515e-11,3.1221873788194135e-11,,-0.9999999999580002,0.9999999999580002,995082,False,2.1489422879822087,0.5150755259987034
23,0.06755851488560438,0.4787462344393134,0.6632596766576171,nf_pure,0.9967333950499501,0.0008104399014742063,0.6020016381316653,-0.003266604950049934,0.003266604950049934,1000000,False,9.374301884003216,
23,0.06755851488560438,0.4787462344393134,0.6632596766576171,vegas,2.1564391826254507e-09,2.156437900406903e-09,,-0.9999999978435609,0.9999999978435609,995078,False,2.1607419089996256,0.43727492825610514
24,0.054566494189202785,0.8925119061022997,0.4591658879071474,nf_pure,0.9987048491047016,0.0016889701346812873,0.25906577071770137,-0.0012951508952984137,0.0012951508952984137,1000000,True,9.346107596997172,
24,0.054566494189202785,0.8925119061022997,0.4591658879071474,vegas,1.7738868987083993e-14,1.1945584280648657e-14,,-0.9999999999999822,0.9999999999999822,995043,False,2.1374586999882013,0.55350439228125
25,0.9245942737907171,0.2037822613492608,0.7188768973574042,nf_pure,0.9979782583373956,0.0010374072349791442,0.4806355179299845,-0.0020217416626043816,0.0020217416626043816,1000000,True,9.363397056993563,
25,0.9245942737907171,0.2037822613492608,0.7188768973574042,vegas,0.0009831482859631662,0.0009831472891304689,,-0.9990168517140369,0.9990168517140369,995050,False,2.170456766994903,0.43727499917849755
26,0.6290794750675559,0.5011873710900545,0.027653799392282963,nf_pure,0.9989690010326163,0.0005330984527095401,0.7783428437828365,-0.0010309989673836784,0.0010309989673836784,1000000,True,9.36343351798132,
26,0.6290794750675559,0.5011873710900545,0.027653799392282963,vegas,7.660292253099013e-16,6.913139709363145e-16,,-0.9999999999999992,0.9999999999999992,995091,False,2.1502149820153136,0.4585520392953596
27,0.25099934451282024,0.31294886860996485,0.7913801930844784,nf_pure,0.9969678663884457,0.0007585957560943005,0.6333229534530656,-0.0030321336115542996,0.0030321336115542996,1000000,False,9.376588720013388,
27,0.25099934451282024,0.31294886860996485,0.7913801930844784,vegas,2.2031934620799626e-07,2.2025619690248042e-07,,-0.9999997796806538,0.9999997796806538,995087,False,2.145685871015303,0.437324896682978
28,0.43270167242735624,0.699715580791235,0.5116742309182882,nf_pure,0.9990071693852907,0.0006605522337099327,0.6957988616061085,-0.000992830614709339,0.000992830614709339,1000000,True,9.34186198801035,
28,0.43270167242735624,0.699715580791235,0.5116742309182882,vegas,5.752558003659286e-07,5.751935193199228e-07,,-0.9999994247441997,0.9999994247441997,995075,False,2.115923628996825,0.43713027316524233
29,0.5607860926538706,0.3884309222921729,0.31052593421190977,nf_pure,1.0002435893739312,0.0005370838124067902,0.7762055482192624,0.00024358937393120783,0.00024358937393120783,1000000,True,9.368198592972476,
29,0.5607860926538706,0.3884309222921729,0.31052593421190977,vegas,6.059195962929247e-11,4.735695532184845e-11,,-0.999999999939408,0.999999999939408,995099,False,2.1522788139991462,0.49802459088565787
30,0.7586480705067515,0.840194147080183,0.9390049921348691,nf_pure,1.0000131904834542,0.000992902916541283,0.5035677284214382,1.319048345416185e-05,1.319048345416185e-05,1000000,True,9.371846995985834,
30,0.7586480705067515,0.840194147080183,0.9390049921348691,vegas,1.1254181398471114e-09,1.1219082595801122e-09,,-0.9999999988745819,0.9999999988745819,995022,False,2.2850732959923334,0.43656987773970857
31,0.13862458057701588,0.028416438959538937,0.2417156770825386,nf_pure,1.0028742632510104,0.00496900816898655,0.03913938031786542,0.002874263251010367,0.002874263251010367,1000000,True,9.378229689988075,
31,0.13862458057701588,0.028416438959538937,0.2417156770825386,vegas,3.0569759125941827e-13,3.0567922951970666e-13,,-0.9999999999996944,0.9999999999996944,995101,False,2.302629972982686,0.43717778982772815
32,0.14216652140021324,0.7345068631693721,0.34360490180552006,nf_pure,1.0003463481300143,0.0030140277152245357,0.09922531195578894,0.00034634813001432896,0.00034634813001432896,1000000,True,9.377760174014838,
32,0.14216652140021324,0.7345068631693721,0.34360490180552006,vegas,1.2581576515056037e-15,1.2447332802329453e-15,,-0.9999999999999988,0.9999999999999988,995020,False,2.209866927994881,0.43923540660278093
33,0.7702504666522145,0.42321957647800446,0.6033597057685256,nf_pure,1.0000327163831306,0.0011148728409509378,0.44585927951397625,3.2716383130626525e-05,3.2716383130626525e-05,1000000,True,9.409788794000633,
33,0.7702504666522145,0.42321957647800446,0.6033597057685256,vegas,5.253342477685247e-12,4.737200133303385e-12,,-0.9999999999947466,0.9999999999947466,995097,False,2.2175892230006866,0.45866325619720816
34,0.5335434414446354,0.8447092501446605,0.14614541176706553,nf_pure,0.9996213763479181,0.0005603293742098777,0.7609151982792844,-0.00037862365208185533,0.00037862365208185533,1000000,True,9.371680654003285,
34,0.5335434414446354,0.8447092501446605,0.14614541176706553,vegas,2.7737734645818574e-15,2.3691239096079265e-15,,-0.9999999999999972,0.9999999999999972,995084,False,2.2080269870057236,0.4712747097679415
35,0.4135194765403867,0.03293463587760925,0.9098279811441898,nf_pure,0.9993607491128287,0.0008736085350971469,0.5668392622324285,-0.0006392508871713165,0.0006392508871713165,1000000,True,9.375488436984597,
35,0.4135194765403867,0.03293463587760925,0.9098279811441898,vegas,1.015692193717048e-06,7.556034228508883e-07,,-0.9999989843078063,0.9999989843078063,994990,False,2.27224533399567,0.36614008338945847
36,0.2786959856748581,0.9192429902032018,0.626961586996913,nf_pure,0.9988845407162171,0.0010918160692433199,0.45563770524757885,-0.0011154592837828714,0.0011154592837828714,1000000,True,9.381991172995185,
36,0.2786959856748581,0.9192429902032018,0.626961586996913,vegas,3.745718312765113e-10,3.009626205285458e-10,,-0.9999999996254282,0.9999999996254282,995095,False,2.31776286099921,0.48935432300618653
37,0.6487232903018594,0.23051787726581097,0.42583038192242384,nf_pure,0.9997302023257939,0.0005392869472128462,0.7746008950839126,-0.0002697976742060959,0.0002697976742060959,1000000,True,9.379197260015644,
37,0.6487232903018594,0.23051787726581097,0.42583038192242384,vegas,7.917773137342655e-11,5.580500092497238e-11,,-0.9999999999208222,0.9999999999208222,995099,False,2.2496622809849214,0.5327459677324279
38,0.9205907061696053,0.5601499052718282,0.8207889469340444,nf_pure,1.0018810003393162,0.0029608780516306023,0.10273362932453464,0.0018810003393161523,0.0018810003393161523,1000000,True,9.396307108021574,
38,0.9205907061696053,0.5601499052718282,0.8207889469340444,vegas,2.1516976754281508e-11,2.0671612798186253e-11,,-0.999999999978483,0.999999999978483,995044,False,2.2523646719928365,0.44497216685053187
