scope,energy_gev,method,replicate,evaluations,estimate_gev2,estimate_fb,seconds
fixed_energy,1990.0,sobol_qmc,0,1048576,9.858497878180594e-13,0.3838695713655142,16.0418528150185
fixed_energy,1990.0,sobol_qmc,1,1048576,9.850852342924245e-13,0.38357186999376564,15.991049200994894
fixed_energy,1990.0,sobol_qmc,2,1048576,9.869431599854728e-13,0.3842953079335332,15.93174608796835
fixed_energy,1990.0,sobol_qmc,3,1048576,9.870787483912274e-13,0.38434810326183,15.983908157038968
fixed_energy,1990.0,sobol_qmc,4,1048576,9.852242553763577e-13,0.3836260019361362,15.985244260984473
fixed_energy,1990.0,sobol_qmc,5,1048576,9.84994729439344e-13,0.38353662927090115,15.99469754396705
fixed_energy,1990.0,sobol_qmc,6,1048576,9.8468476081852e-13,0.383415933883954,15.998631120019127
fixed_energy,1990.0,sobol_qmc,7,1048576,9.86476544019123e-13,0.3841136173015441,16.04482755000936
fixed_energy,2000.0,sobol_qmc,0,1048576,9.851616899845026e-13,0.3836016402631405,15.990885689971037
fixed_energy,2000.0,sobol_qmc,1,1048576,9.82886539708644e-13,0.3827157436772935,16.009350824984722
fixed_energy,2000.0,sobol_qmc,2,1048576,9.840372395473655e-13,0.38316380245797044,16.006155966955703
fixed_energy,2000.0,sobol_qmc,3,1048576,9.870751962768778e-13,0.3843467201417749,15.992093673965428
fixed_energy,2000.0,sobol_qmc,4,1048576,9.843830948436344e-13,0.3832984713760691,16.00066561298445
fixed_energy,2000.0,sobol_qmc,5,1048576,9.838483341465655e-13,0.38309024659162066,15.953119377954863
fixed_energy,2000.0,sobol_qmc,6,1048576,9.837453567245505e-13,0.383050149307696,16.008768638013862
fixed_energy,2000.0,sobol_qmc,7,1048576,9.864129763041814e-13,0.38408886534461434,15.961750358983409
