energy_gev,method,repeats,mean_fb,empirical_sem_fb,mean_internal_stderr_fb,mean_normalized_ess,evaluations_per_repeat,mean_seconds,total_seconds
600.0,conditional_nf,5,0.19393046861696647,0.00010492868564004532,0.00016736531504574,0.9306817378673834,100000.0,4.353983738610987,21.769918693054933
600.0,madevent,5,0.181784,0.0007087778213234448,0.0013112320011091035,,,7.972993903781753,39.864969518908765
800.0,conditional_nf,5,0.3492750382776081,0.00011900960937086833,0.000279135579143,0.9399646674349338,100000.0,4.194017653795891,20.970088268979453
800.0,madevent,5,0.331488,0.0015283239185460646,0.002782314034156415,,,8.087118106009438,40.43559053004719
1000.0,conditional_nf,5,0.38456512597536185,7.864643343163285e-05,0.0003295744934973,0.9315782717753696,100000.0,4.216066540195607,21.080332700978033
1000.0,madevent,5,0.36542,0.001595383966322844,0.0029613633115835236,,,7.783262549003121,38.9163127450156
1400.0,conditional_nf,5,0.3967579769760266,0.00010992428808443958,0.00038763940116594,0.9128609706998155,100000.0,4.223520910786465,21.117604553932324
1400.0,madevent,5,0.38258200000000003,0.0025948841978015065,0.0031438599959854527,,,8.362437227612826,41.812186138064135
2000.0,conditional_nf,5,0.3834518011019091,0.00016829634771826566,0.00044052889157946004,0.8834031058759624,100000.0,4.199919844593387,20.999599222966935
2000.0,madevent,5,0.384518,0.001027459974889524,0.003338716344872217,,,7.988491808413528,39.94245904206764
