energy_gev,method,repeats,mean_fb,empirical_sem_fb,mean_internal_stderr_fb,mean_normalized_ess,evaluations_per_repeat,mean_seconds,total_seconds
600.0,conditional_nf,5,0.19393046861696656,0.00010492868564004669,0.00016736531504578579,0.9306817378673834,100000.0,4.353983738610987,21.769918693054933
600.0,madevent,5,0.193842,4.9830713420544946e-05,,,,7.972993903781753,39.864969518908765
800.0,conditional_nf,5,0.3492750382776081,0.00011900960937087472,0.00027913557914306566,0.9399646674349338,100000.0,4.194017653795891,20.970088268979453
800.0,madevent,5,0.3493134,0.00023779835996069933,,,,8.087118106009438,40.43559053004719
1000.0,conditional_nf,5,0.38456512597536185,7.864643343162355e-05,0.0003295744934973503,0.9315782717753696,100000.0,4.216066540195607,21.080332700978033
1000.0,madevent,5,0.3844468,0.00010428681604114358,,,,7.783262549003121,38.9163127450156
1400.0,conditional_nf,5,0.3967579769760266,0.00010992428808443516,0.00038763940116599794,0.9128609706998153,100000.0,4.223520910786465,21.117604553932324
1400.0,madevent,5,0.39553279999999996,0.00017910147961421345,,,,8.362437227612826,41.812186138064135
2000.0,conditional_nf,5,0.3834518011019091,0.00016829634771825793,0.0004405288915795052,0.8834031058759624,100000.0,4.199919844593387,20.999599222966935
2000.0,madevent,5,0.38268199999999997,0.00032464395882257266,,,,7.988491808413528,39.94245904206764
