benchmark,dimension,bins,ess_mean,ess_std,variance_mean,variance_std,relative_error_mean,relative_error_std,train_time_mean,eval_time_mean,parameter_count,ise_2d_mean
curved_ridge,2,8,0.7407711744791666,0.07323008843729721,7.2874005834261575e-06,3.0393337044298524e-06,0.0015557328859965005,0.0012066894464907794,73.4362376652037,0.02743748966604471,57392.0,1.3868772824605307
curved_ridge,2,16,0.7600139609375,0.06367641581609071,6.505332628885905e-06,2.5005287025564195e-06,0.001948698361714681,0.00224093694437517,73.41566627922778,0.027587883609036603,63584.0,1.1933517813682557
curved_ridge,2,32,0.7436856744791667,0.05833952771282939,7.064226667086284e-06,2.3155634424901857e-06,0.0016219735145568848,0.0016351261971547216,73.32047664249937,0.027848463350286085,75968.0,1.2478178103764852
curved_ridge,2,64,0.7162584817708333,0.06513459715716646,8.171061674753826e-06,2.848013445242282e-06,0.002018574873606364,0.0018697932344814393,73.35268143936992,0.02843432097385327,100736.0,1.458435320854187
curved_ridge,4,8,0.4095714934895833,0.1335793065781915,3.5957915147145586e-05,2.4573021148896755e-05,0.005041988690694174,0.005230461647469623,161.9906981138823,0.0641234418998162,134384.0,
curved_ridge,4,16,0.4432173489583333,0.1265957315375256,3.0379377206166582e-05,2.11533264830416e-05,0.005302814642588297,0.0040596333649023115,161.77259102634466,0.06440308584521214,148832.0,
curved_ridge,4,32,0.44234183463541665,0.13417554962355518,3.148050880432129e-05,2.3441638076039808e-05,0.003960939248402914,0.0034175549050695204,157.98069263637686,0.0650674964611729,177728.0,
curved_ridge,4,64,0.41195317057291664,0.13723044878094057,3.836668093999227e-05,3.496230028883583e-05,0.005426104863484701,0.0049230797992558225,162.2691220762208,0.06640021090085307,235520.0,
curved_ridge,8,8,0.14843276883951825,0.13262479082187242,0.0004887798139254252,0.0007454727415940161,0.014788174629211425,0.009185990630780806,338.5500736919542,0.13682262289027372,289904.0,
curved_ridge,8,16,0.15878836423238119,0.13238399122739145,0.003921305364131928,0.013601663644030416,0.02792881727218628,0.050888757608448694,330.6940829899783,0.13778007930765548,320864.0,
curved_ridge,8,32,0.17893684868367513,0.14605368239857872,0.0010486357882817587,0.003155530492790391,0.01383360226949056,0.015720685929510345,337.3242588167389,0.14042880178118747,382784.0,
curved_ridge,8,64,0.14520727001953124,0.13146528526748433,0.000288063187122345,0.00030114637641662017,0.016461952527364095,0.018989410162785617,339.83330152696,0.14331291820853947,506624.0,
sharp_broad,2,8,0.8996637083333333,0.05217967966675263,2.306501934925715e-06,1.357834748776013e-06,0.000925600528717041,0.0006875597783231514,73.79682961277042,0.02863159341116746,57392.0,0.4754920989274979
sharp_broad,2,16,0.9120953020833333,0.04991413692854413,1.9935799042383832e-06,1.2718622112603685e-06,0.0008239467938741048,0.0005579126225641525,73.81966984287526,0.02782440688461065,63584.0,0.31489554593960445
sharp_broad,2,32,0.908197515625,0.05696211104315032,2.108405624826749e-06,1.475950368999403e-06,0.0009937047958374023,0.0005895435018632407,73.81354934194435,0.02812793248643478,75968.0,0.41081529955069224
sharp_broad,2,64,0.8949125416666667,0.063018200947974,2.4619077146053316e-06,1.712223843697243e-06,0.0008898496627807618,0.000629539899128989,73.82282457826659,0.02855874483163158,100736.0,0.4782792791724205
sharp_broad,4,8,0.7621865104166667,0.08002579587974021,6.544414202372233e-06,2.9154090908515047e-06,0.001964267094930013,0.0017367946780954583,162.1594485649839,0.06412061657756567,134384.0,
sharp_broad,4,16,0.7866888125,0.08510801827883605,5.735010226567586e-06,2.990967547835449e-06,0.0017427961031595866,0.002290401814994263,162.14263769875592,0.0651819420667986,148832.0,
sharp_broad,4,32,0.7829883125,0.08742209079073084,5.878586153189341e-06,3.125057859155367e-06,0.0018228371938069662,0.0019111528807359706,161.60746073924625,0.0647944077849388,177728.0,
sharp_broad,4,64,0.7549315572916666,0.09824161418794489,6.971231102943421e-06,3.848834991451335e-06,0.0020525296529134113,0.0025963760412444996,160.53594579547644,0.06579689122736454,235520.0,
sharp_broad,8,8,0.42555085904947915,0.15133740255704584,5.100168816248576e-05,9.272261473014486e-05,0.006254037221272786,0.0037236624813572015,333.31844411666196,0.13692626114934683,289904.0,
sharp_broad,8,16,0.434722640625,0.16505783060859433,3.8517828941345217e-05,3.94373965194543e-05,0.004865876833597819,0.003138695596021288,328.75076233781874,0.13712272979319096,320864.0,
sharp_broad,8,32,0.44603700781250005,0.1471358198799401,3.1708715240160625e-05,2.481110429061755e-05,0.004848400751749675,0.003238933065031052,329.09871366045746,0.13883961730947098,382784.0,
sharp_broad,8,64,0.42960513802083333,0.1281928442163585,3.097356510162353e-05,1.6115507509216944e-05,0.003830067316691081,0.002692964427985427,330.5757082061221,0.14161903417358795,506624.0,
single_gaussian,2,8,0.9570552864583333,0.00885860142231924,8.986452321211497e-07,1.9462030849395188e-07,0.0008646965026855469,0.0006237174430227985,74.0377290447553,0.02806543605402112,57392.0,0.4794628034035365
single_gaussian,2,16,0.9738479062500001,0.009490012475594287,5.385102505485216e-07,2.0128615215381471e-07,0.0006479899088541667,0.0004934899515332441,73.68928895456095,0.027657192231466374,63584.0,0.2397787754734357
single_gaussian,2,32,0.9748679010416667,0.007862401811764655,5.164747759699822e-07,1.656142132595159e-07,0.0006422360738118489,0.00047342018116894286,73.8377165844043,0.028018933534622193,75968.0,0.21910157004992167
single_gaussian,2,64,0.9682835729166667,0.011954295349686473,6.571931938330332e-07,2.5585433213537545e-07,0.0007749994595845541,0.0008014128092902767,73.88773381259914,0.028705158767600856,100736.0,0.33310372978448866
single_gaussian,4,8,0.929986734375,0.018800025895009877,1.5141280839840572e-06,4.3823127320139335e-07,0.0006479899088541667,0.0004711236157937684,162.70212903494635,0.06480085412040353,134384.0,
single_gaussian,4,16,0.960609015625,0.011722260140847837,8.229033773144086e-07,2.561801316350228e-07,0.0006624420483907063,0.0004140172640807054,162.6631592603711,0.06452432302758097,148832.0,
single_gaussian,4,32,0.9614567239583334,0.01436763051625058,8.062533388535182e-07,3.188613371434144e-07,0.0005405584971110027,0.00042576435807173624,162.76945556281134,0.06547657577320934,177728.0,
single_gaussian,4,64,0.95862903125,0.01105654272161372,8.655020445585251e-07,2.4295574995378126e-07,0.0006812294324239095,0.0004183700348376467,162.82699783549955,0.06661306985964378,235520.0,
single_gaussian,8,8,0.8697036770833333,0.027575861594227324,3.021638214588165e-06,7.605770211026067e-07,0.0022261977195739747,0.0011894580400185577,339.9285624663656,0.13712631668895484,289904.0,
single_gaussian,8,16,0.9221739479166666,0.02322453022858828,1.7022241652011871e-06,5.671769866680487e-07,0.0008385141690572102,0.0006496588502912117,338.54922810864326,0.13805296026791136,320864.0,
single_gaussian,8,32,0.929719375,0.016864841921435766,1.5190075437227884e-06,3.939946526849074e-07,0.0011199196179707846,0.0006997915043205804,338.32796764482435,0.13977137229715783,382784.0,
single_gaussian,8,64,0.926234875,0.013126065543010374,1.5962100823720296e-06,3.0553432855153046e-07,0.0008086721102396647,0.0006549081814022058,338.1151380366646,0.14312340713416535,506624.0,
xshape,2,8,0.8630042916666666,0.054984213754380284,3.258759915828705e-06,1.507851372634069e-06,0.0013752579689025879,0.0006946415934524021,73.28112987258162,0.02753336091215412,57392.0,0.41819730699062346
xshape,2,16,0.8976461927083333,0.05365611589434761,2.355007713039716e-06,1.3601865341266846e-06,0.0009761492411295573,0.0007537950309268514,73.34322994574904,0.027650271666546662,63584.0,0.30761127869288124
xshape,2,32,0.8961981510416667,0.05284346929153799,2.3891346156597137e-06,1.3460994208391176e-06,0.0008292754491170247,0.0007852288612252335,73.35327129795526,0.028026192076504232,75968.0,0.32247160077095033
xshape,2,64,0.8855660052083334,0.054856754071496316,2.6663497040669123e-06,1.4364578711370206e-06,0.0009409825007120769,0.0006650226757092486,73.55908853126068,0.02867054222151637,100736.0,0.35343375951051714
xshape,4,8,0.5847401718749999,0.13258947933773557,1.6068628112475076e-05,9.412260256173282e-06,0.003481109937032064,0.003519503082275848,160.91394121960425,0.06427966561168433,134384.0,
xshape,4,16,0.6481891875,0.14686525026809835,1.2741621156533558e-05,9.440768330872394e-06,0.002895168463389079,0.0023320839932262144,157.5970080574043,0.06439199360708396,148832.0,
xshape,4,32,0.6247846341145833,0.17176425700295925,1.6146522959073386e-05,1.792134221533716e-05,0.003543225924173991,0.003308634435937358,157.83962115816152,0.0652243363050123,177728.0,
xshape,4,64,0.61133933203125,0.1533823493828154,1.6814740975697834e-05,1.9582539148315507e-05,0.002863287925720215,0.0023932934370529263,160.50878535506004,0.06682621069873372,235520.0,
xshape,8,8,0.25909307682291666,0.11576256227571695,7.793181578318278e-05,5.386356091657023e-05,0.0074209133783976235,0.0053919985796020585,341.5280879593144,0.1388456143128375,289904.0,
xshape,8,16,0.29073662304687503,0.13861224441418707,8.651180839538575e-05,0.00011271157232640899,0.00878238280614217,0.006424053221156031,341.70459791862714,0.14037218612308303,320864.0,
xshape,8,32,0.3207368479817709,0.12491956430415338,6.231859978040059e-05,7.130801994091013e-05,0.007125238577524821,0.0053069801537324116,341.88137018106255,0.1425737771205604,382784.0,
xshape,8,64,0.2791091977539063,0.1495471230091719,0.00030043236064910894,0.0008416859606365591,0.011209527651468912,0.014589917573802126,341.26225426932797,0.14491184921935202,506624.0,
