benchmark,dimension,bins,seed,condition_id,condition_0,condition_1,condition_2,integral_true,integral_estimate,relative_error,variance,weight_variance,ess_fraction,train_time,eval_time,parameter_count,ise_2d
single_gaussian,2,8,0,0,0.15000000596046448,0.20000000298023224,0.20000000298023224,1.0,1.0017248392105103,0.001724839210510254,9.894077479839326e-07,0.049470387399196625,0.953016953125,74.7300466960296,0.036694041918963194,57392,0.6677276492118835
single_gaussian,2,8,0,1,0.25,0.75,0.800000011920929,1.0,0.9996227622032166,0.00037723779678344727,1.1553015559911728e-06,0.05776507779955864,0.9453515625,74.7300466960296,0.027392485179007053,57392,0.33560311794281006
single_gaussian,2,8,0,2,0.5,0.5,0.5,1.0,0.9988439083099365,0.0011560916900634766,7.68391340970993e-07,0.03841956704854965,0.962920234375,74.7300466960296,0.027464386075735092,57392,0.34732502698898315
single_gaussian,2,8,0,3,0.75,0.25,0.699999988079071,1.0,0.9990134239196777,0.0009865760803222656,9.3226358294487e-07,0.0466131791472435,0.9553796875,74.7300466960296,0.02742629498243332,57392,0.8157496452331543
single_gaussian,2,8,0,4,0.8500000238418579,0.800000011920929,0.30000001192092896,1.0,1.0017260313034058,0.0017260313034057617,7.039224356412888e-07,0.03519612178206444,0.966114296875,74.7300466960296,0.027441995218396187,57392,0.17499437928199768
single_gaussian,2,8,1,0,0.15000000596046448,0.20000000298023224,0.20000000298023224,1.0,1.0004056692123413,0.0004056692123413086,9.387652575969696e-07,0.04693826287984848,0.95520171875,73.815027854871,0.027707908768206835,57392,0.6161856055259705
single_gaussian,2,8,1,1,0.25,0.75,0.800000011920929,1.0,1.0001327991485596,0.0001327991485595703,6.450070440769196e-07,0.03225035220384598,0.9687659375,73.815027854871,0.02740944502875209,57392,0.19149841368198395
single_gaussian,2,8,1,2,0.5,0.5,0.5,1.0,0.9995964765548706,0.00040352344512939453,8.520374447107315e-07,0.042601872235536575,0.95910796875,73.815027854871,0.027365165296941996,57392,0.38374462723731995
single_gaussian,2,8,1,3,0.75,0.25,0.699999988079071,1.0,0.9987795352935791,0.0012204647064208984,1.3802918791770934e-06,0.06901459395885468,0.93529453125,73.815027854871,0.027411275077611208,57392,1.3015010356903076
single_gaussian,2,8,1,4,0.8500000238418579,0.800000011920929,0.30000001192092896,1.0,0.9992401599884033,0.0007598400115966797,8.272194117307663e-07,0.041360970586538315,0.96022453125,73.815027854871,0.027383024338632822,57392,0.2532440423965454
single_gaussian,2,8,2,0,0.15000000596046448,0.20000000298023224,0.20000000298023224,1.0,0.9993506073951721,0.0006493926048278809,1.0886767506599426e-06,0.05443383753299713,0.94831359375,73.56811258336529,0.02788212103769183,57392,0.700196385383606
