energy_gev,method,repeats,mean_fb,empirical_sem_fb,mean_internal_stderr_fb,mean_normalized_ess,evaluations_per_repeat,mean_seconds,total_seconds
1400.0,conditional_nf,10,0.3964725938255597,7.330374902045803e-05,0.00017339036988053375,0.9127168208606244,500000.0,18.105917199287795,181.05917199287796
1400.0,madevent,10,0.3962278,0.00012834976518179183,,,,17.798775618994842,177.9877561899484
2000.0,conditional_nf,10,0.3834344677417307,5.611742358316157e-05,0.00019689770216551613,0.8835117707486997,500000.0,18.080525613791544,180.80525613791542
2000.0,madevent,10,0.3828093,0.0001358253003759643,,,,17.777895055006958,177.77895055006957
