energy_gev,method,replicate,evaluations,estimate_gev2,estimate_pb,seconds,stderr_gev2,stderr_pb,relative_stderr,normalized_ess
300.0,sobol_qmc,0,1048576,1.360157064373983e-10,0.05296171036833208,2.4292500899755396,,,,
300.0,sobol_qmc,1,1048576,1.360951335516435e-10,0.05299263764820459,2.4276372599997558,,,,
300.0,sobol_qmc,2,1048576,1.3608324343402363e-10,0.05298800788167157,2.4353274009772576,,,,
300.0,sobol_qmc,3,1048576,1.3609722944394168e-10,0.05299345374543165,2.413724098005332,,,,
300.0,sobol_qmc,4,1048576,1.3610756746616754e-10,0.05299747915803471,2.415274225990288,,,,
300.0,sobol_qmc,5,1048576,1.360547046866267e-10,0.05297689548212963,2.4152461659978144,,,,
300.0,sobol_qmc,6,1048576,1.3610571555911952e-10,0.05299675806363116,2.4165424009552225,,,,
300.0,sobol_qmc,7,1048576,1.3606369020794397e-10,0.052980394258778145,2.415750810992904,,,,
300.0,sobol_qmc,8,1048576,1.3606407199447163e-10,0.05298054291857656,2.421438267978374,,,,
300.0,sobol_qmc,9,1048576,1.3608397426915634e-10,0.05298829245379666,2.4204938279581256,,,,
300.0,sobol_qmc,10,1048576,1.3610472344285947e-10,0.052996371754024774,2.4239166059996933,,,,
300.0,sobol_qmc,11,1048576,1.3599232420931553e-10,0.05295260581104291,2.4243396620149724,,,,
300.0,sobol_qmc,12,1048576,1.3609138360320918e-10,0.05299117749563783,2.425189421977848,,,,
300.0,sobol_qmc,13,1048576,1.360926671088057e-10,0.052991677266241086,2.4488637589965947,,,,
300.0,sobol_qmc,14,1048576,1.3607118225703379e-10,0.05298331150814848,2.4264884459553286,,,,
300.0,sobol_qmc,15,1048576,1.36080124885975e-10,0.052986793583390535,2.4221033949870616,,,,
300.0,conditional_nf,0,1000000,1.3608158936092608e-10,0.05298736381972744,15.376072522019967,3.394975400745778e-14,1.321933389837337e-05,0.00024948087516389616,0.9414062117388872
