scope,energy_gev,method,replicate,evaluations,estimate_gev2,estimate_fb,seconds,stderr_gev2,stderr_fb,relative_stderr,normalized_ess
fixed_energy,1400.0,sobol_qmc,0,262144,1.0163462560940723e-12,0.39574426703409565,4.600737681030296,,,,
fixed_energy,1400.0,sobol_qmc,1,262144,1.0194944006016863e-12,0.3969700895657505,4.5688153660157695,,,,
fixed_energy,1400.0,sobol_qmc,2,262144,1.0146337689002355e-12,0.3950774598458302,4.557850879034959,,,,
fixed_energy,1400.0,sobol_qmc,3,262144,1.0175793264670024e-12,0.3962243992016623,4.560665501980111,,,,
fixed_energy,1400.0,sobol_qmc,4,262144,1.0182782981425068e-12,0.3964965643537859,4.5484140159678645,,,,
fixed_energy,1400.0,sobol_qmc,5,262144,1.0187008525965821e-12,0.3966610983417918,4.557041588996071,,,,
fixed_energy,1400.0,sobol_qmc,6,262144,1.0185167393918781e-12,0.3965894084577488,4.536795532971155,,,,
fixed_energy,1400.0,sobol_qmc,7,262144,1.0180831012792484e-12,0.39642055872173443,4.547006641980261,,,,
fixed_energy,1400.0,nf_mixture,0,500000,1.0183168312652504e-12,0.39651156835692486,18.114701259997673,4.455690835042053e-16,0.00017349540996203992,0.0004375544720699444,0.9126361204184564
fixed_energy,1990.0,sobol_qmc,0,262144,9.831445810252468e-13,0.3828162196431282,4.559834532032255,,,,
fixed_energy,1990.0,sobol_qmc,1,262144,9.834870802033902e-13,0.3829495817580584,4.538217319000978,,,,
fixed_energy,1990.0,sobol_qmc,2,262144,9.9026998216061e-13,0.3855907038631765,4.569909438956529,,,,
fixed_energy,1990.0,sobol_qmc,3,262144,9.898850045755672e-13,0.38544080153284,4.569093230005819,,,,
fixed_energy,1990.0,sobol_qmc,4,262144,9.860784524884914e-13,0.38395860867130843,4.55556569196051,,,,
fixed_energy,1990.0,sobol_qmc,5,262144,9.817049584665472e-13,0.38225566031516073,4.5412109839962795,,,,
fixed_energy,1990.0,sobol_qmc,6,262144,9.829824948304513e-13,0.3827531066223726,4.555065725988243,,,,
fixed_energy,1990.0,sobol_qmc,7,262144,9.881398105895643e-13,0.3847612589943775,4.538539503002539,,,,
fixed_energy,1990.0,nf_mixture,0,500000,9.859910133372654e-13,0.3839245616695071,17.990962192008737,5.053797962783213e-16,0.00019678446774687864,0.0005125602459273657,0.883892732084725
fixed_energy,2000.0,sobol_qmc,0,262144,9.867759269470174e-13,0.3842301908380251,4.54973864404019,,,,
fixed_energy,2000.0,sobol_qmc,1,262144,9.804437786880263e-13,0.38176458292489507,4.556229420006275,,,,
fixed_energy,2000.0,sobol_qmc,2,262144,9.825401024493733e-13,0.38258084815480664,4.564153151994105,,,,
fixed_energy,2000.0,sobol_qmc,3,262144,9.874805338591973e-13,0.384504550235067,4.542954974982422,,,,
fixed_energy,2000.0,sobol_qmc,4,262144,9.884583331017612e-13,0.38488528509017644,4.5466820179717615,,,,
fixed_energy,2000.0,sobol_qmc,5,262144,9.8172312913954e-13,0.38226273560040125,4.54967423301423,,,,
fixed_energy,2000.0,sobol_qmc,6,262144,9.842061725051343e-13,0.3832295814669935,4.5730150759918615,,,,
fixed_energy,2000.0,sobol_qmc,7,262144,9.850167969364346e-13,0.3835452218990621,4.562567864020821,,,,
fixed_energy,2000.0,nf_mixture,0,500000,9.848667262592217e-13,0.3834867874729983,18.01235196198104,5.057753508295172e-16,0.0001969384885296546,0.0005135469981309884,0.8834973875900468
